Name Mentioned,Mapped District
BALASORE,Balasore
CHANDBALI,Bhadrak
CUTTACK,Cuttack
PARADIP,Jagatsinghpur
BHUBANESWAR,Khurda
GOPALPUR,Ganjam
PURI,Puri
ANGUL,Angul
BARIPADA,Mayurbhanj
JHARSUGUDA,Jharsuguda
KEONJHARGARH,Keonjhar
SAMBALPUR,Sambalpur
SUNDARGARH,Sundargarh
HIRAKUD,Sambalpur
TALCHER,Angul
BHAWANIPATNA,Kalahandi
BOLANGIR,Bolangir
KORAPUT,Koraput
PHULABANI,Kandhamal
TITLAGARH,Bolangir
MALKANGIRI,Malkangiri
SONEPUR,Sonepur
DARINGIBADI,Kandhamal
NAYAGARH,Nayagarh
BOUDH,Boudh
CHATRAPUR,Ganjam
PARALAKHEMUNDI,Gajapati
RAYAGADA,Rayagada
BHADRAK,Bhadrak
JAJPUR,Jajpur
DHENKANAL,Dhenkanal
BARGARH,Bargarh
DEOGARH,Deogarh
NUAPADA,Nuapada
NAWARANGPUR,Nabarangapur
KHORDHA,Khurda
JAGATSINGHPUR,Jagatsinghpur
KENDRAPADA,Kendrapara
ROURKELA,Sundargarh
